time,A,B,C,u
0.0,0.9304294626684065,0.048827584849772884,0.04971771347319647,0.0
0.01,0.8729049522043852,0.062460163412232865,0.05566131394688353,0.0
0.02,0.8633387891890838,0.07532880361731818,0.061183066885717945,0.0
0.03,0.8518408366877567,0.08809078279126376,0.06822097074583523,0.0
0.04,0.8145862963453367,0.09950021617387449,0.0714246271281291,0.0
0.05,0.8108641654328489,0.11278108664211013,0.07493084827814651,0.0
0.06,0.7944816466740641,0.12452238320104562,0.08456669141510864,0.0
0.07,0.7513008577358898,0.13014699579040673,0.08982461846363762,0.0
0.08,0.778742290144078,0.14648939982597475,0.0927627784214687,0.0
0.09,0.7572154445679918,0.1532250232578351,0.1013182324903896,0.0
0.1,0.7244981960282604,0.16158938016545224,0.10687034746933853,0.0
0.11,0.7170659967313461,0.17322594231830032,0.10745234720740632,0.0
0.12,0.7129276526207123,0.17834530900471618,0.11331385113422096,0.0
0.13,0.6888247872611668,0.19209910281465326,0.11778328791222488,0.0
0.14,0.6761726169379095,0.18961495524676916,0.13008364818653062,0.0
0.15,0.6474829847320548,0.2065996500151575,0.12660273824077448,0.0
0.16,0.6618759083611461,0.2066997289663802,0.1338631132994876,0.0
0.17,0.6443030324440874,0.21857533694463976,0.14279862230806636,0.0
0.18,0.6346060949788324,0.21982156673141479,0.1502729341121497,0.0
0.19,0.6009725753107186,0.2355821132852834,0.15542128861866739,0.0
0.2,0.6290759782074062,0.2356392106115411,0.15827350757935352,0.0
0.21,0.6001984412814796,0.24306019013654467,0.16419225997820647,0.0
0.22,0.5834767804203306,0.23958938883552272,0.17071002448198808,0.0
0.23,0.6014535397344197,0.24251303968598073,0.17352312985178225,0.0
0.24,0.5677306719964161,0.25608044345089415,0.1760281043371876,0.0
0.25,0.5425565163655225,0.26744023058735983,0.1824773763442229,0.0
0.26,0.5451014820070058,0.2648769922281637,0.18853531253985875,0.0
0.27,0.5158585655680072,0.26037588174264503,0.19345016253087405,0.0
0.28,0.5430576274801012,0.28167785431204,0.19648253617596848,0.0
0.29,0.5190715986137538,0.2734237401829643,0.19684575737963594,0.0
0.3,0.5075532365656752,0.2842492182233533,0.20508228062900274,0.0
0.31,0.5180859438996542,0.27887862843589006,0.2118681573670599,0.0
0.32,0.4829392175339535,0.2828191313452352,0.20892515217413768,0.0
0.33,0.49713899864289074,0.2918367601771427,0.214699385504031,0.0
0.34,0.4645170756924108,0.27770657652537156,0.22408695120827676,0.0
0.35000000000000003,0.47105448007980055,0.2902221432593016,0.22936257948139255,0.0
0.36,0.4590987189669536,0.29640289450233126,0.22948450411040877,0.0
0.37,0.47723090481486585,0.29910701917030985,0.23351775828356458,0.0
0.38,0.47325128172409675,0.2941639351931933,0.23901097508162744,0.0
0.39,0.44774845167924543,0.31326904352630675,0.24046916224667805,0.0
0.4,0.45198155954848235,0.3074142731684902,0.24412883559198428,0.0
0.41000000000000003,0.43688975341154185,0.30988164403695234,0.2413680982709466,0.0
0.42,0.4375102459139012,0.3011158135375082,0.25292529011617865,0.0
0.43,0.4204569927238797,0.314380976508562,0.26625546118561516,0.0
0.44,0.4069351963955917,0.3209134278703351,0.25789514644305395,0.0
0.45,0.4009304060502239,0.32402891998169153,0.2619944319206158,0.0
0.46,0.41382376959741357,0.32412981194963075,0.2711726894393214,0.0
0.47000000000000003,0.42379956678438735,0.3213884618366996,0.27620595643791773,0.0
0.48,0.4027586092037498,0.3219007950277868,0.28783702254717014,0.0
0.49,0.391615389351418,0.32600604691677165,0.27634979264999704,0.0
0.5,0.4060224407088213,0.3305763166786507,0.2850033380547794,0.0
0.51,0.3883307797796854,0.32604510241816936,0.27952432774648817,0.0
0.52,0.3828250453797677,0.3273456711527711,0.2838165145156265,0.0
0.53,0.3796330540760308,0.3325009470653856,0.28777502490602036,0.0
0.54,0.37252903652409514,0.32939395702729596,0.29438819168768476,0.0
0.55,0.36713906565138843,0.3338542958278758,0.30077872133359757,0.0
0.56,0.3549568193732874,0.334022435753365,0.3024483238493941,0.0
0.5700000000000001,0.365199838765321,0.32793654405454253,0.29869022969958486,0.0
0.58,0.3571270344371133,0.34502502927002415,0.30670630853841163,0.0
0.59,0.36259094450454565,0.34033019675194076,0.3024094610326979,0.0
0.6,0.3479893910475486,0.3305369316859088,0.3085335744952574,0.0
0.61,0.33387265662866183,0.33095147891675686,0.30757857421374735,0.0
0.62,0.34304777923920465,0.33480081974770115,0.3159113704854616,0.0
0.63,0.3520217487810747,0.33470862245525235,0.3223526713523041,0.0
0.64,0.3346693373007189,0.33270988744259083,0.3364537624127507,0.0
0.65,0.3282010837403039,0.34142331198384157,0.32061342552607724,0.0
0.66,0.32321981902334973,0.33828398740859866,0.3313422227563221,0.0
0.67,0.32129049875772736,0.3345645866524122,0.3318117897589346,0.0
0.68,0.323366717977089,0.3518834840781897,0.33045999986837493,0.0
0.6900000000000001,0.31492288659174467,0.33957714844195813,0.3304488893053652,0.0
0.7000000000000001,0.32940400834780165,0.34453959655545324,0.3295238144430736,0.0
0.71,0.3153941962938667,0.3336501763237771,0.34029784719722134,0.0
0.72,0.31530456953154684,0.3355875772655251,0.3369544995124869,0.0
0.73,0.3211018145614512,0.33655820194746244,0.34325970500013864,0.0
0.74,0.3190048544426004,0.3501390405581618,0.35192804584206683,0.0
0.75,0.30602105346032377,0.34899795799823874,0.33695255825268905,0.0
0.76,0.3070524524956531,0.34273441693050327,0.3598277216599098,0.0
0.77,0.3072386720505168,0.34255392887406283,0.34685407305890326,0.0
0.78,0.29944836659097235,0.347071228905045,0.357956457206454,0.0
0.79,0.2878722663598538,0.33914041242480625,0.35834767816865754,0.0
0.8,0.3003033721351734,0.34358683688070685,0.35627722133842316,0.0
0.81,0.29967883875692153,0.35192637390842246,0.36256812766419916,0.0
0.8200000000000001,0.2948873735755224,0.3394689311716641,0.3705483816642528,0.0
0.8300000000000001,0.28518685339717503,0.35018605855269863,0.36321660330112177,0.0
0.84,0.2875691734723907,0.3451951128094185,0.3722916861939892,0.0
0.85,0.28350805478359065,0.34728245733241825,0.38029477845082843,0.0
0.86,0.2834335508040365,0.3451050574224318,0.36872509403531756,0.0
0.87,0.29078604437575295,0.35206727085647543,0.36343827726668276,0.0
0.88,0.29039136576621705,0.3522807184243238,0.36816878656631774,0.0
0.89,0.28390367312264814,0.35015450264213493,0.37534651242490563,0.0
0.9,0.281634653053515,0.33527721057308324,0.3812675206194879,0.0
0.91,0.28079268542230806,0.3473671897273816,0.3615095942118026,0.0
0.92,0.27548310649196056,0.3546757323242191,0.3756956301342256,0.0
0.93,0.2736824065626119,0.3396664488985164,0.3739303074829118,0.0
0.9400000000000001,0.2690085233780156,0.336109357703659,0.392677888364329,0.0
0.9500000000000001,0.27100187879146437,0.3451393338289449,0.37404076754378035,0.0
0.96,0.28216627551590867,0.3522155028997646,0.3869622070838018,0.0
0.97,0.27332833627978276,0.337940158753465,0.3843886660500849,0.0
0.98,0.2655584575397246,0.34897546929032786,0.39184560346819286,0.0
0.99,0.26363872278792333,0.34471335917420376,0.39958114236254877,0.0
1.0,0.26036541498493715,0.34639321785325683,0.38540764394694527,0.0
1.01,0.26574856265168056,0.34944197095444246,0.37865499965847377,0.0
1.02,0.2646884812461218,0.3454067195777407,0.40042309016003896,0.0
1.03,0.25397209139241583,0.34270667516668313,0.3856339906120821,0.0
1.04,0.2629710722986499,0.34772976584420984,0.39331617319684375,0.0
1.05,0.2564298292939307,0.3571232148439862,0.39858094601432287,0.0
1.06,0.26573012000889407,0.3506390116535666,0.38245192545611945,0.0
1.07,0.25816628608349546,0.35124517395272925,0.3907383947736374,0.0
1.08,0.2651942663564216,0.34009002368087093,0.3981030199569859,0.0
1.09,0.2530985609092229,0.3428675120103082,0.3923557370191351,0.0
1.1,0.25305080579088357,0.33728852146093624,0.41263538914734915,0.0
1.11,0.25513941435866244,0.3526665853781495,0.3887738543397228,0.0
1.12,0.2580818791840683,0.3531452615906834,0.40672230893739925,0.0
1.1300000000000001,0.25474346678710597,0.3491905375794738,0.3963946737486172,0.0
1.1400000000000001,0.24486955585106662,0.3515175093620413,0.4025576277898401,0.0
1.1500000000000001,0.2511713693690986,0.3432582329238836,0.39700475343312724,0.0
1.16,0.24958059056085602,0.3435612365012401,0.40753868844336866,0.0
1.17,0.24656964383815796,0.35429150976540374,0.413468918797569,0.0
1.18,0.24474410271806213,0.3432306044788847,0.4095708150616027,0.0
1.19,0.25587310037538985,0.3529007589746575,0.40531486762211255,0.0
1.2,0.2445999543479489,0.35720223831786674,0.3886206992418596,0.0
1.21,0.24167686075857436,0.3379145466767695,0.4094341458169544,0.0
1.22,0.24828924589990906,0.33970210534326434,0.3921708121634798,0.0
1.23,0.24515083387838651,0.35726815993942246,0.4170916951137174,0.0
1.24,0.24350608244500904,0.3523790655148609,0.40091805477757514,0.0
1.25,0.24705740403083368,0.3561928036957251,0.39535883624562657,0.0
1.26,0.24502415991636572,0.3570012640041806,0.39805354540815036,0.0
1.27,0.24381858794188294,0.3434119004284474,0.411824187149366,0.0
1.28,0.2461496532288203,0.35917049561151904,0.40543136070286023,0.0
1.29,0.24230195269137966,0.354796854513582,0.4135523410747445,0.0
1.3,0.2374261253152811,0.35229785361848764,0.4031041663847295,0.0
1.31,0.23812534720798043,0.3474615171233546,0.42028006659075573,0.0
1.32,0.23685430715155292,0.34274567814441625,0.4272084142778751,0.0
1.33,0.23984826666764086,0.339881851594639,0.4158794835803551,0.0
1.34,0.2332188057751077,0.335217634532286,0.40744154165623114,0.0
1.35,0.2291636917277813,0.3392103016620607,0.4054321882556534,0.0
1.36,0.23783662902704997,0.33961347997997027,0.41016657828267716,0.0
1.37,0.23063219032920385,0.34610805218314855,0.4263177587584499,0.0
1.3800000000000001,0.22729258220256562,0.33995239241432995,0.4124768051691685,0.0
1.3900000000000001,0.23786079812456867,0.3326289736025441,0.405302705369141,0.0
1.4000000000000001,0.2323288950724232,0.34575641348710723,0.440704795284322,0.0
1.41,0.2376084204969341,0.3305325077980139,0.43269548741468344,0.0
1.42,0.2323841142212025,0.34209239879080866,0.4322191985699112,0.0
1.43,0.22923017153624003,0.3490179120209291,0.4146662889263971,0.0
1.44,0.22829358972739366,0.3338048642374334,0.4273375191840368,0.0
1.45,0.23134271901223663,0.3359405879070794,0.4134527528593024,0.0
1.46,0.23211721882188582,0.3437347394811604,0.417469334394882,0.0
1.47,0.22920779861225068,0.3531689505193718,0.4271819034135208,0.0
1.48,0.2313990785309346,0.34310746156644395,0.41274311331687485,0.0
1.49,0.2252385349728091,0.340854972577407,0.4226060909557688,0.0
1.5,0.2321236624052949,0.3456503626920808,0.41203201039858117,0.0
1.51,0.223430144430444,0.3318356605248612,0.43099626222725,0.0
1.52,0.23054128079975872,0.3333763572431097,0.420463941575596,0.0
1.53,0.2343650551199013,0.348318545156843,0.42546544041790907,0.0
1.54,0.23589374915651606,0.34903525131611457,0.4264476857635253,0.0
1.55,0.2384760142753999,0.3475729408979614,0.41767894241346637,0.0
1.56,0.22312753746259512,0.3443847098263784,0.42002731755547434,0.0
1.57,0.2335186485472525,0.3464802167447764,0.41860995460294564,0.0
1.58,0.23531068129166424,0.3313488691891281,0.4045899553337927,0.0
1.59,0.23401442841491557,0.33584338612408776,0.4276141257050667,0.0
1.6,0.22500470770751144,0.34053014604045656,0.4340162390680044,0.0
1.61,0.2309110964329438,0.34978834391147023,0.4360824037246483,0.0
1.62,0.23730120781931854,0.3444456491259672,0.42648422123915214,0.0
1.6300000000000001,0.22171673447922535,0.34329376835201686,0.4343801169348284,0.0
1.6400000000000001,0.2305134413882927,0.33532321401273957,0.41980222718826815,0.0
1.6500000000000001,0.23319559322177602,0.3438298525637295,0.42569428962679356,0.0
1.6600000000000001,0.22473398773149844,0.3455436859430948,0.41145363558403447,0.0
1.67,0.23035780707548636,0.346829683775521,0.4229899285761842,0.0
1.68,0.22262936198030486,0.34198218848147255,0.43261199853080123,0.0
1.69,0.223613755866733,0.3567805368725659,0.41574374194874286,0.0
1.7,0.22340393613908704,0.3348655681960562,0.42840941100972346,0.0
1.71,0.2278022716791546,0.34890630510515874,0.44970996461051466,0.0
1.72,0.22633573171946544,0.33399040601609564,0.4371819250866273,0.0
1.73,0.23089534282342203,0.3339886166771772,0.43093581036404655,0.0
1.74,0.222142269099455,0.34755589327648995,0.44135573879894147,0.0
1.75,0.22563829553949766,0.33990855613956583,0.43701530433750335,0.0
1.76,0.2304143759009792,0.33744819055260994,0.4263345827340601,0.0
1.77,0.2284435776190839,0.34286290734416186,0.45632979017304204,0.0
1.78,0.21977395322479823,0.36000275164225265,0.4397830318354714,0.0
1.79,0.22860521202745931,0.33839878141940366,0.43994416910231404,0.0
1.8,0.22329930141417798,0.340232542852311,0.4410587233064722,0.0
1.81,0.22704975107500433,0.3509052938648184,0.4245740957572963,0.0
1.82,0.2265274127136641,0.338624282829876,0.43074118447529597,0.0
1.83,0.2305249294126309,0.3588202781421979,0.439093915294421,0.0
1.84,0.2254286554867332,0.33365420651677397,0.4296047985214568,0.0
1.85,0.21644123229246934,0.34091900854144014,0.4329584754438138,0.0
1.86,0.21849422567565405,0.3490523061440762,0.42849451890189916,0.0
1.87,0.22780941864050372,0.3407542680607853,0.4285506424806822,0.0
1.8800000000000001,0.22324710274084592,0.33890771151798416,0.4434076727260991,0.0
1.8900000000000001,0.22939455746473594,0.33260993319463833,0.4295513140368241,0.0
1.9000000000000001,0.22540210735803756,0.3413025981365553,0.44565461466923784,0.0
1.9100000000000001,0.22070856968081795,0.3480488146580342,0.4390690684626138,0.0
1.92,0.22880568038573462,0.3403182648894696,0.42057028292418924,0.0
1.93,0.220237471070222,0.3353219015501934,0.4267074418763564,0.0
1.94,0.2145641794979964,0.3511708204217533,0.42785154962191135,0.0
1.95,0.23288115474154084,0.3478335725269206,0.4460421683869656,0.0
1.96,0.21500938773215986,0.3459527134960293,0.43196408786422524,0.0
1.97,0.2263017713609714,0.34045325307712315,0.44176927934025567,0.0
1.98,0.22755919446667996,0.33606649699707153,0.4454272108453277,0.0
1.99,0.22393165817883245,0.3496985786976693,0.43720678358234494,0.0
2.0,0.21567285590548277,0.3422941662265641,0.4280583907071728,0.0
